"no","name","category","designation","prefecture","region","latitude","longitude","source_type","source_url","source_record_id","coordinate_source","selection_role","selection_rule"
"32","岡山城西丸西手櫓","城郭建築","重要文化財","岡山県","中国","34.664946","133.930886","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-2999","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"33","金沢城石川門","城郭建築","重要文化財","石川県","北陸甲信","36.565292","136.661419","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-753","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"34","丸亀城天守","城郭建築","重要文化財","香川県","四国","34.286280","133.800115","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3286","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"35","松本城天守","城郭建築","国宝","長野県","北陸甲信","36.238613","137.968846","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-920","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"36","備中松山城","城郭建築","重要文化財","岡山県","中国","34.809100","133.622398","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","102-3030","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"37","五稜郭跡","特別史跡","特別史跡","北海道","北海道","41.796887","140.756827","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-7","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"38","大湯環状列石","特別史跡","特別史跡","秋田県","東北","40.271337","140.804319","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-268","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"39","多胡碑","特別史跡","特別史跡","群馬県","関東","36.264682","138.996475","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-519","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"40","大谷磨崖仏","特別史跡","特別史跡","栃木県","関東","36.596286","139.820872","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-470","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"41","三内丸山遺跡","特別史跡","特別史跡","青森県","東北","40.811030","140.698491","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-108","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"42","登呂遺跡","特別史跡","特別史跡","静岡県","東海","34.956031","138.408966","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1353","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"43","常陸国分寺跡","特別史跡","特別史跡","茨城県","関東","36.196360","140.273701","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-427","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"44","金田城跡","特別史跡","特別史跡","長崎県","九州","34.296773","129.272707","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2782","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"45","遠江国分寺跡","特別史跡","特別史跡","静岡県","東海","34.719485","137.851380","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1323","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"46","山上碑及び古墳","特別史跡","特別史跡","群馬県","関東","36.277111","139.027778","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-520","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"47","多賀城跡
　附　寺跡","特別史跡","特別史跡","宮城県","東北","38.306053","140.988416","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-181","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"48","臼杵磨崖仏
　附　日吉塔、嘉応二年在銘五輪塔
　承安二年在銘五輪塔","特別史跡","特別史跡","大分県","九州","33.090918","131.765432","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2860","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"49","平城宮跡","特別史跡","特別史跡","奈良県","近畿","34.692048","135.797181","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1942","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"50","加曽利貝塚","特別史跡","特別史跡","千葉県","関東","35.607214","140.106433","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-00003988","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"51","新居関跡","特別史跡","特別史跡","静岡県","東海","34.694795","137.561366","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1316","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"52","一乗谷朝倉氏遺跡","特別史跡","特別史跡","福井県","北陸甲信","36.001399","136.296984","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-00003445","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"53","厳島","特別史跡","特別史跡","広島県","中国","34.271168","132.306123","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2315","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"54","西都原古墳群","特別史跡","特別史跡","宮崎県","九州","32.111502","131.385187","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2918","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"55","山田寺跡","特別史跡","特別史跡","奈良県","近畿","34.484046","135.830127","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1931","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"56","日光杉並木街道
　附　並木寄進碑","特別史跡","特別史跡","栃木県","関東","36.690766","139.716747","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-467","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"57","讃岐国分寺跡","特別史跡","特別史跡","香川県","四国","34.302906","133.944161","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2509","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"58","本居宣長旧宅
　同　宅跡","特別史跡","特別史跡","三重県","東海","34.575245","136.525833","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1491","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"59","高松塚古墳","特別史跡","特別史跡","奈良県","近畿","34.462268","135.806199","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2020","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"60","尖石石器時代遺跡","特別史跡","特別史跡","長野県","北陸甲信","36.013657","138.233154","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1178","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"61","埼玉古墳群","特別史跡","特別史跡","埼玉県","関東","36.123086","139.477873","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-603","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"62","斎尾廃寺跡","特別史跡","特別史跡","鳥取県","中国","35.481712","133.711450","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2118","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"63","王塚古墳","特別史跡","特別史跡","福岡県","九州","33.588734","130.663595","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2631","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"64","岩橋千塚古墳群","特別史跡","特別史跡","和歌山県","近畿","34.225355","135.226501","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2070","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"65","旧弘道館","特別史跡","特別史跡","茨城県","関東","36.375808","140.477086","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-425","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"66","大宰府跡","特別史跡","特別史跡","福岡県","九州","33.514595","130.515174","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2599","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"67","廉塾ならびに菅茶山旧宅","特別史跡","特別史跡","広島県","中国","34.544659","133.384567","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2324","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"68","鹿苑寺（金閣寺）庭園","特別史跡","特別史跡","京都府","近畿","35.039653","135.728609","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1657","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"69","旧浜離宮庭園","特別史跡","特別名勝","東京都","関東","35.659892","139.763350","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-712","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"70","原の辻遺跡","特別史跡","特別史跡","長崎県","九州","33.758784","129.751861","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2791","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"71","本薬師寺跡","特別史跡","特別史跡","奈良県","近畿","34.492662","135.799985","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1934","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"72","野幌原始林","特別天然記念物","特別天然記念物","北海道","北海道","42.991107","141.533575","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-4","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"73","玉川温泉の北投石","特別天然記念物","特別天然記念物","秋田県","東北","39.960843","140.730175","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-256","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"74","大雪山","特別天然記念物","特別天然記念物","北海道","北海道","43.551006","142.829943","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-44","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"75","小湊のハクチョウおよびその渡来地","特別天然記念物","特別天然記念物","青森県","東北","40.937143","140.970414","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-90","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"76","狩宿の下馬ザクラ","特別天然記念物","特別天然記念物","静岡県","東海","35.301472","138.588500","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1322","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"77","宝生院のシンパク","特別天然記念物","特別天然記念物","香川県","四国","34.493347","134.197464","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2504","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"78","昭和新山","特別天然記念物","特別天然記念物","北海道","北海道","42.542573","140.864392","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-33","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"79","鳴沢熔岩樹型","特別天然記念物","特別天然記念物","山梨県","北陸甲信","35.480056","138.698361","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1111","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"80","鬼首の雌釜および雄釜間歇温泉","特別天然記念物","特別天然記念物","宮城県","東北","38.823355","140.690317","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-187","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"81","湧玉池","特別天然記念物","特別天然記念物","静岡県","東海","35.227386","138.611398","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1349","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"82","大島のサクラ株","特別天然記念物","特別天然記念物","東京都","関東","34.762917","139.429194","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-701","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"83","ホタルイカ群遊海面","特別天然記念物","特別天然記念物","富山県","北陸甲信","36.788248","137.349906","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-946","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"84","八代のツルおよびその渡来地","特別天然記念物","特別天然記念物","山口県","中国","34.093481","131.943741","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2362","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"85","杉の大スギ","特別天然記念物","特別天然記念物","高知県","四国","33.754083","133.663306","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2570","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"86","根反の大珪化木","特別天然記念物","特別天然記念物","岩手県","東北","40.190327","141.334595","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-139","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"87","アポイ岳高山植物群落","特別天然記念物","特別天然記念物","北海道","北海道","42.113779","143.031911","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-26","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"88","コウシンソウ自生地","特別天然記念物","特別天然記念物","栃木県","関東","36.673817","139.367979","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-465","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"89","長岡のゲンジボタルおよびその発生地","特別天然記念物","特別天然記念物","滋賀県","近畿","35.352885","136.367788","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1583","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"90","蒲生のクス","特別天然記念物","特別天然記念物","鹿児島県","九州","31.765610","130.569626","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2978","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"91","根尾谷の菊花石","特別天然記念物","特別天然記念物","岐阜県","北陸甲信","35.671896","136.690565","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1272","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"92","大根島の熔岩隧道","特別天然記念物","特別天然記念物","島根県","中国","35.492386","133.184357","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2167","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"93","焼走り熔岩流","特別天然記念物","特別天然記念物","岩手県","東北","39.869892","141.044263","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-155","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"94","御岳の鏡岩","特別天然記念物","特別天然記念物","埼玉県","関東","36.179167","139.070472","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-604","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"95","八釜の甌穴群","特別天然記念物","特別天然記念物","愛媛県","四国","33.524987","132.992708","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2541","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"96","青島亜熱帯性植物群落","特別天然記念物","特別天然記念物","宮崎県","九州","31.804695","131.475691","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2906","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"97","岩間の噴泉塔群","特別天然記念物","特別天然記念物","石川県","北陸甲信","36.231415","136.767400","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-1002","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"98","牛島のフジ","特別天然記念物","特別天然記念物","埼玉県","関東","35.985000","139.773222","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-595","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"99","秋吉台","特別天然記念物","特別天然記念物","山口県","中国","34.249865","131.303032","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2432","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"100","羽黒山のスギ並木","特別天然記念物","特別天然記念物","山形県","東北","38.704160","139.970098","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-300","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"101","阿寒湖のマリモ","特別天然記念物","特別天然記念物","北海道","北海道","43.453222","144.102295","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"102","鹿児島県のツルおよびその渡来地","特別天然記念物","特別天然記念物","鹿児島県","九州","32.099157","130.276285","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2973","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"103","浅間山熔岩樹型","特別天然記念物","特別天然記念物","群馬県","関東","36.431552","138.559474","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-552","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
"104","加茂の大クス","特別天然記念物","特別天然記念物","徳島県","四国","34.040913","133.931931","文化庁・国指定等文化財DB","https://kunishitei.bunka.go.jp/bsys/index","401-2480","文化庁DBの緯度・経度欄","official-background","official-pool; category+region quota; deterministic SHA-256 rank"
